---,ExchangeRewardId,RewardId,AfterRewardId,ItemTypeId,ItemId,Count
1,10001,4060061,1000040,1,1,40
2,10002,4060062,1000040,1,1,40
3,10003,4060063,1000040,1,1,40
4,10004,4060064,1000040,1,1,40
5,10005,4060065,1000040,1,1,40
6,10006,4090091,1000040,1,1,40
7,10007,4090092,1000040,1,1,40
8,10008,4090093,1000040,1,1,40
9,10009,4090094,1000040,1,1,40
10,10010,4090095,1000040,1,1,40
11,10011,4040041,1000040,1,1,40
12,10012,4040042,1000040,1,1,40
13,10013,4040043,1000040,1,1,40
14,10014,4040044,1000040,1,1,40
15,10015,4040045,1000040,1,1,40
16,10016,4030031,1000040,1,1,40
17,10017,4030032,1000040,1,1,40
18,10018,4030033,1000040,1,1,40
19,10019,4030034,1000040,1,1,40
20,10020,4030035,1000040,1,1,40
21,10021,6010009,1000020,1,1,20
22,10022,6010019,1000020,1,1,20
23,10023,6010018,1000020,1,1,20
24,10024,6010027,1000020,1,1,20
25,10025,6010024,1000020,1,1,20
26,10026,6020039,1000020,1,1,20
27,10027,6020037,1000020,1,1,20
28,10028,6020053,1000020,1,1,20
29,10029,6020080,1000020,1,1,20
30,10030,6020056,1000020,1,1,20
31,10031,6020057,1000020,1,1,20
32,10032,6020058,1000020,1,1,20
33,10033,6020059,1000020,1,1,20
34,10034,6020028,1000020,1,1,20
35,10035,6020029,1000020,1,1,20
36,10036,6030020,1000020,1,1,20
37,10037,6030021,1000020,1,1,20
38,10038,6030030,1000020,1,1,20
39,10039,6030031,1000020,1,1,20
40,10040,6030051,1000020,1,1,20
41,10041,6030007,1000020,1,1,20
42,10042,6030053,1000020,1,1,20
43,10043,6030059,1000020,1,1,20
44,10044,6030062,1000020,1,1,20
45,10045,6030074,1000020,1,1,20
46,10046,3000004,1000030,1,1,30
47,10047,3000035,1000030,1,1,30
48,10048,3000072,1000030,1,1,30
49,10049,3000120,1000030,1,1,30
50,10050,3000128,1000030,1,1,30
51,10051,3000023,1000030,1,1,30
52,10052,3000119,1000030,1,1,30
53,10053,3000019,1000030,1,1,30
54,10054,3000078,1000030,1,1,30
55,10055,3000107,1000030,1,1,30
56,10056,3000012,1000030,1,1,30
57,10057,3000080,1000030,1,1,30
58,10058,3000064,1000030,1,1,30
59,10059,3000042,1000030,1,1,30
60,10060,3000097,1000030,1,1,30
61,10061,3000067,1000030,1,1,30
62,10062,3000076,1000030,1,1,30
63,10063,3000060,1000030,1,1,30
64,10064,3000085,1000030,1,1,30
65,10065,4060061,9000005,9,0,5
66,10066,4060062,9000005,9,0,5
67,10067,4060063,9000005,9,0,5
68,10068,4060064,9000005,9,0,5
69,10069,4060065,9000005,9,0,5
70,10070,4090091,9000005,9,0,5
71,10071,4090092,9000005,9,0,5
72,10072,4090093,9000005,9,0,5
73,10073,4090094,9000005,9,0,5
74,10074,4090095,9000005,9,0,5
75,10075,4040041,9000005,9,0,5
76,10076,4040042,9000005,9,0,5
77,10077,4040043,9000005,9,0,5
78,10078,4040044,9000005,9,0,5
79,10079,4040045,9000005,9,0,5
80,10080,4030031,9000005,9,0,5
81,10081,4030032,9000005,9,0,5
82,10082,4030033,9000005,9,0,5
83,10083,4030034,9000005,9,0,5
84,10084,4030035,9000005,9,0,5
85,10085,6010009,9000005,9,0,5
86,10086,6010019,9000005,9,0,5
87,10087,6010018,9000005,9,0,5
88,10088,6010027,9000005,9,0,5
89,10089,6010024,9000005,9,0,5
90,10090,6020039,9000005,9,0,5
91,10091,6020037,9000005,9,0,5
92,10092,6020053,9000005,9,0,5
93,10093,6020080,9000005,9,0,5
94,10094,6020056,9000005,9,0,5
95,10095,6020057,9000005,9,0,5
96,10096,6020058,9000005,9,0,5
97,10097,6020059,9000005,9,0,5
98,10098,6020028,9000005,9,0,5
99,10099,6020029,9000005,9,0,5
100,10100,6030020,9000005,9,0,5
101,10101,6030021,9000005,9,0,5
102,10102,6030030,9000005,9,0,5
103,10103,6030031,9000005,9,0,5
104,10104,6030051,9000005,9,0,5
105,10105,6030007,9000005,9,0,5
106,10106,6030053,9000005,9,0,5
107,10107,6030059,9000005,9,0,5
108,10108,6030062,9000005,9,0,5
109,10109,6030074,9000005,9,0,5
110,10110,3000004,9000005,9,0,5
111,10111,3000035,9000005,9,0,5
112,10112,3000072,9000005,9,0,5
113,10113,3000120,9000005,9,0,5
114,10114,3000128,9000005,9,0,5
115,10115,3000023,9000005,9,0,5
116,10116,3000119,9000005,9,0,5
117,10117,3000019,9000005,9,0,5
118,10118,3000078,9000005,9,0,5
119,10119,3000107,9000005,9,0,5
120,10120,3000012,9000005,9,0,5
121,10121,3000080,9000005,9,0,5
122,10122,3000064,9000005,9,0,5
123,10123,3000042,9000005,9,0,5
124,10124,3000097,9000005,9,0,5
125,10125,3000067,9000005,9,0,5
126,10126,3000076,9000005,9,0,5
127,10127,3000060,9000005,9,0,5
128,10128,3000085,9000005,9,0,5
129,10129,4080081,1000040,1,1,40
130,10130,4080082,1000040,1,1,40
131,10131,4080083,1000040,1,1,40
132,10132,4080084,1000040,1,1,40
133,10133,4080085,1000040,1,1,40
134,10134,6010028,1000020,1,1,20
135,10135,6020060,1000020,1,1,20
136,10136,6020078,1000020,1,1,20
137,10137,6030041,1000020,1,1,20
138,10138,6030063,1000020,1,1,20
139,10139,6010016,1000020,1,1,20
140,10140,6020031,1000020,1,1,20
141,10141,6020038,1000020,1,1,20
142,10142,6030022,1000020,1,1,20
143,10143,6030069,1000020,1,1,20
