---,QuestId,Name,BuddyId,Order,IsReChallenge,Difficulty,KindId,ModeId,IsDev
1,1001,エア・リアル殲滅作戦１,1,1,True,1,0,1,False
2,1002,マグ殲滅作戦１,1,2,True,1,0,1,False
3,1003,ポート奪還作戦１,1,3,True,1,0,1,False
4,1004,Sマグ討伐作戦,1,4,True,2,0,1,False
5,1005,アサルトの実戦１,1,5,True,2,0,1,False
6,1006,ヴァンガードの実戦１,1,6,True,2,0,1,False
7,1007,サポートの実戦１,1,7,True,2,0,1,False
8,1008,射撃武器の訓練１,1,8,True,3,0,1,False
9,1009,格闘武器の訓練１,1,9,True,3,0,1,False
10,1010,戦略的撤退,1,10,False,1,0,1,False
11,1011,ヒカリからの依頼１,1,11,False,1,0,1,False
12,1012,コミュニケーション,1,12,False,1,0,1,False
13,1013,勝利の星,1,13,False,2,0,1,False
14,1014,クリスマス作戦１【12/25まで】,1,14,True,1,1,1,False
15,1015,クリスマス作戦２【12/25まで】,1,15,True,2,2,1,False
16,1016,クリスマス作戦３【12/25まで】,1,16,True,4,3,1,False
17,1017,お正月クエスト【1/31まで】,1,17,True,1,4,1,False
18,1018,作戦報告,1,18,False,1,0,1,False
19,1019,タワー破壊作戦,1,19,True,2,0,1,True
20,1020,ヒカリと特訓１,1,20,True,3,0,1,True
21,1021,ヒカリからの依頼２,1,21,False,2,0,1,False
22,1022,エア・グランデ討伐作戦,1,22,True,2,0,1,False
23,1023,敵兵器破壊作戦,1,23,True,3,0,1,True
24,1024,飛行訓練,1,24,False,2,0,1,False
25,1025,ポート防衛作戦,1,25,True,3,0,1,True
26,1026,ヒカリと特訓２,1,26,True,4,0,1,True
27,1027,アクロバティック飛行,1,27,False,1,0,1,False
28,1028,ベストプレイヤー,1,28,True,3,0,1,True
29,1029,トッププレイヤー,1,29,True,4,0,1,True
30,1030,チョコレート作戦,1,30,True,2,0,1,True
31,1031,お内裏様とお雛様？,1,31,True,2,0,1,True
32,1032,天の川を翔ける,1,32,True,2,0,1,True
33,1033,夏祭り射的作戦,1,33,True,2,0,1,True
34,1034,お菓子か弾丸か,1,34,True,2,0,1,True
35,1035,星のバレンタイン【2/14まで】,1,35,True,1,5,1,False
36,1036,テスト用クエスト対ARダメージ,1,36,True,3,0,1,True
37,1037,ヒカリの誕生日１【5/5まで】,1,37,False,1,0,1,False
38,1038,ヒカリの誕生日２【5/5まで】,1,38,False,1,0,1,False
39,1039,ヒカリの誕生日３【5/5まで】,1,39,False,2,0,1,False
40,1040,ヒカリの誕生日４【5/5まで】,1,40,False,3,0,1,False
41,1041,戦術的戦闘訓練１,1,41,True,2,0,1,False
42,1042,ヒカリとスキルアップ１,1,42,False,1,0,1,False
43,1043,アサルトの実戦２,1,43,True,2,0,1,False
44,1044,ヴァンガードの実戦２,1,44,True,2,0,1,False
45,1045,サポートの実戦２,1,45,True,2,0,1,False
46,1046,ヒカリとスキルアップ２,1,46,False,2,0,1,False
47,1047,For the Win,1,47,False,2,0,1,False
48,1048,天駆ける星の煌めき,1,48,False,3,0,1,True
49,1049,6月の花嫁１【6/25まで】,1,49,True,1,6,1,False
50,1050,6月の花嫁２【6/25まで】,1,50,False,2,0,1,False
51,1051,6月の花嫁３【6/25まで】,1,51,False,3,0,1,False
52,1052,夏だ！みんな集合【7/30まで】,1,52,False,1,7,1,False
53,1053,あつはなっちぃーぜ！【7/30まで】,1,53,False,2,8,1,False
54,1054,あっちぃ勝負！【7/30まで】,1,54,False,3,9,1,False
55,1055,負けねぇぜ！！【7/30まで】,1,55,False,3,10,1,False
56,1056,Fighting Spirit,1,56,True,3,0,1,False
57,1057,ヒカリの特別指導１,1,57,False,1,0,1,False
58,1058,君と私で,1,58,False,1,0,1,False
59,1059,２つの翼,1,59,False,2,0,1,False
60,1060,絆の力,1,60,False,2,0,1,False
61,1061,背中は預けた,1,61,True,3,14,1,False
62,1066,月より団子１【10/10まで】,1,62,False,1,15,1,False
63,1067,月より団子２【10/10まで】,1,63,False,2,16,1,False
64,1068,月より団子３【10/10まで】,1,64,False,2,17,1,False
65,1069,月より団子４【10/10まで】,1,65,False,3,18,1,False
66,1070,ベロベロバー！１【11/14まで】,1,66,False,1,19,1,False
67,1071,ベロベロバー！２【11/14まで】,1,67,False,2,20,1,False
68,1072,ベロベロバー！３【11/14まで】,1,68,False,2,21,1,False
69,1073,ベロベロバー！４【11/14まで】,1,69,False,3,22,1,False
70,1074,キザナ共闘戦線クエスト1,1,70,False,1,23,20,False
71,1075,キザナ共闘戦線クエスト2,1,71,False,1,24,20,False
72,1076,キザナ共闘戦線クエスト3,1,72,False,1,25,20,False
73,1077,キザナ共闘戦線クエスト4,1,73,False,2,26,20,False
74,1078,キザナ共闘戦線クエスト5,1,74,False,2,27,20,False
75,1079,キザナ共闘戦線クエスト6,1,75,False,2,28,20,False
76,1080,キザナ共闘戦線クエスト7,1,76,False,3,29,20,False
77,1081,防御は最大の攻撃,1,77,False,1,0,1,False
78,1082,速さが足りない！！,1,78,False,1,0,1,False
79,1083,トリガーハッピー♪,1,79,False,2,0,30,False
80,1084,最の高なクリスマスを１【12/29まで】,1,80,False,1,30,30,False
81,1085,最の高なクリスマスを２【12/29まで】,1,81,False,2,31,30,False
82,1086,最の高なクリスマスを３【12/29まで】,1,82,False,2,32,30,False
83,1087,最の高なクリスマスを４【12/29まで】,1,83,False,3,33,30,False
84,1088,お正月チャレンジクエスト１【1/21まで】,1,84,False,1,34,30,False
85,1089,お正月チャレンジクエスト２【1/21まで】,1,85,False,2,35,30,False
86,1090,お正月チャレンジクエスト３【1/21まで】,1,86,False,3,0,30,False
87,1091,お正月チャレンジクエスト４【1/21まで】,1,87,False,3,36,30,False
88,1092,チョコっと甘～い出撃１【2/18まで】,1,88,False,1,38,30,False
89,1093,チョコっと甘～い出撃２【2/18まで】,1,89,False,2,39,30,False
90,1094,チョコっと甘～い出撃３【2/18まで】,1,90,False,3,40,30,False
91,1095,チョコっと甘～い出撃４【2/18まで】,1,91,False,3,41,30,False
92,1100,ズバッとやって、カッキーン,1,100,False,2,0,30,False
93,1101,油断大敵なお姉さん,1,101,False,2,0,30,False
94,1102,敵のエア・グランデを発見！,1,102,False,2,0,30,False
95,1103,完全無欠のキラキラリーン☆,1,103,False,2,0,30,False
96,1104,レイカの誕生日２－１【3/3まで】,1,104,False,1,0,30,False
97,1105,レイカの誕生日２－２【3/3まで】,1,105,False,2,0,30,False
98,1106,レイカの誕生日２－３【3/3まで】,1,106,False,3,0,30,False
99,1107,レイカの誕生日２－４【3/3まで】,1,107,False,3,0,1,False
100,1108,ヒカリの誕生日２－１【5/5まで】,1,108,False,1,0,30,False
101,1109,ヒカリの誕生日２－２【5/5まで】,1,109,False,2,0,30,False
102,1110,ヒカリの誕生日２－３【5/5まで】,1,110,False,3,0,30,False
103,1111,ヒカリの誕生日２－４【5/5まで】,1,111,False,3,0,1,False
104,1112,カズマの誕生日２－１【6/23まで】,1,112,False,1,0,30,False
105,1113,カズマの誕生日２－２【6/23まで】,1,113,False,2,0,30,False
106,1114,カズマの誕生日２－３【6/23まで】,1,114,False,3,0,30,False
107,1115,カズマの誕生日２－４【6/23まで】,1,115,False,3,0,1,False
108,1116,シャーリーの誕生日２－１【8/18まで】,1,116,False,1,0,30,False
109,1117,シャーリーの誕生日２－２【8/18まで】,1,117,False,2,0,30,False
110,1118,シャーリーの誕生日２－３【8/18まで】,1,118,False,3,0,30,False
111,1119,シャーリーの誕生日２－４【8/18まで】,1,119,False,3,0,1,False
112,1120,お返しチョ～だい！１【3/24まで】,1,120,False,1,42,30,False
113,1121,お返しチョ～だい！２【3/24まで】,1,121,False,2,43,30,False
114,1122,お返しチョ～だい！３【3/24まで】,1,122,False,3,44,30,False
115,1123,お返しチョ～だい！４【3/24まで】,1,123,False,3,45,1,False
116,1124,花より団子だべ１【4/14まで】,1,124,False,1,46,30,False
117,1125,花より団子だべ２【4/14まで】,1,125,False,2,47,30,False
118,1126,花より団子だべ３【4/14まで】,1,126,False,3,48,30,False
119,1127,花より団子だべ４【4/14まで】,1,127,False,3,49,1,False
120,1128,あっぱれ五月晴れ！１【5/26まで】,1,128,False,1,50,30,False
121,1129,あっぱれ五月晴れ！２【5/26まで】,1,129,False,2,51,30,False
122,1130,あっぱれ五月晴れ！３【5/26まで】,1,130,False,2,52,30,False
123,1131,あっぱれ五月晴れ！４【5/26まで】,1,131,False,3,53,30,False
124,1132,宇宙でめぐり会う二人１【7/14まで】,1,132,False,1,54,30,False
