---,QuestId,IsFirstTime,RewardId
1,1001,True,1000100
2,1001,False,1000020
3,1002,True,1000100
4,1002,False,1000020
5,1003,True,1000100
6,1003,False,1000020
7,1004,True,1000200
8,1004,False,1000040
9,1005,True,1000200
10,1005,False,1000040
11,1006,True,1000200
12,1006,False,1000040
13,1007,True,1000200
14,1007,False,1000040
15,1008,True,1000300
16,1008,False,1000060
17,1009,True,1000300
18,1009,False,1000060
19,1010,True,6020049
20,1011,True,8001011
21,1012,True,7000054
22,1013,True,8001004
23,1014,True,6020127
24,1014,False,1000020
25,1015,True,3000137
26,1015,False,1000060
27,1016,True,7002002
28,1016,False,1000100
29,1017,True,6020094
30,1017,False,1000020
31,1018,True,6001001
32,1019,True,1000001
33,1019,False,1000001
34,1020,True,7000058
35,1020,False,1000001
36,1021,True,8001001
37,1022,True,1000200
38,1022,False,1000040
39,1023,True,7000059
40,1023,False,1000001
41,1024,True,6010029
42,1025,True,1000001
43,1025,False,1000001
44,1026,True,1000001
45,1026,False,1000001
46,1027,True,12001003
47,1027,False,1000001
48,1028,True,1000001
49,1028,False,1000001
50,1029,True,7000059
51,1029,False,1000001
52,1030,True,1000001
53,1030,False,1000001
54,1031,True,1000001
55,1031,False,1000001
56,1032,True,1000001
57,1032,False,1000001
58,1033,True,1000001
59,1033,False,1000001
60,1034,True,1000001
61,1034,False,1000001
62,1035,True,6020097
63,1035,False,1000020
64,1036,True,7002002
65,1036,False,7002002
66,1037,True,1000100
67,1038,True,1000100
68,1039,True,1000200
69,1040,True,1000300
70,1041,True,1000200
71,1041,False,1000040
72,1042,True,8001008
73,1043,True,1000200
74,1043,False,1000040
75,1044,True,1000200
76,1044,False,1000040
77,1045,True,1000200
78,1045,False,1000040
79,1046,True,8001012
80,1047,True,1000100
81,1048,True,1000100
82,1049,True,4050033
83,1049,False,1000100
84,1050,True,1000500
85,1051,True,7002401
86,1052,True,1000100
87,1052,False,1000100
88,1053,True,1000100
89,1053,False,1000100
90,1054,True,1000100
91,1054,False,1000100
92,1055,True,1000100
93,1055,False,1000100
94,1056,True,1000300
95,1056,False,1000060
96,1057,True,8001010
97,1058,True,1000100
98,1058,False,1000020
99,1059,True,1000200
100,1059,False,1000040
101,1060,True,1000200
102,1060,False,1000040
103,1061,True,6020063
104,1061,False,1000060
105,1066,True,1000100
106,1066,False,1000100
107,1067,True,1000200
108,1067,False,1000200
109,1068,True,1000200
110,1068,False,1000200
111,1069,True,6020118
112,1069,False,1000200
113,1070,True,1000100
114,1070,False,1000100
115,1071,True,1000200
116,1071,False,1000200
117,1072,True,1000200
118,1072,False,1000200
119,1073,True,6020122
120,1073,False,1000200
121,1074,True,1000100
122,1074,False,1000100
123,1075,True,1000100
124,1075,False,1000100
125,1076,True,6001015
126,1076,False,1000100
127,1077,True,1000100
128,1077,False,1000100
129,1078,True,1000100
130,1078,False,1000100
131,1079,True,6001016
132,1079,False,1000100
133,1080,True,7000235
134,1080,False,1000100
135,1081,True,8001017
136,1082,True,8001006
137,1083,True,8001015
138,1084,True,1000200
139,1084,False,1000100
140,1085,True,1000200
141,1085,False,1000100
142,1086,True,6020124
143,1086,False,1000100
144,1087,True,7002407
145,1087,False,1000100
146,1088,True,1000100
147,1088,False,1000100
148,1089,True,1000200
149,1089,False,1000100
150,1090,True,12001004
151,1090,False,1000100
152,1091,True,7002408
153,1091,False,1000100
154,1092,True,1000200
155,1092,False,1000100
156,1093,True,1000200
157,1093,False,1000100
158,1094,True,6020098
159,1094,False,1000100
160,1095,True,7002409
161,1095,False,1000100
162,1100,True,8001018
163,1101,True,8001022
164,1102,True,8001023
165,1103,True,8001003
166,1104,True,1000100
167,1105,True,1000100
168,1106,True,1000200
169,1107,True,8001021
170,1108,True,1000100
171,1109,True,1000100
172,1110,True,1000200
173,1111,True,8001020
174,1112,True,1000100
175,1113,True,1000100
176,1114,True,1000200
177,1115,True,8001002
178,1116,True,1000100
179,1117,True,1000100
180,1118,True,1000200
181,1119,True,8001005
182,1120,True,1000100
183,1120,False,1000100
184,1121,True,1000200
185,1121,False,1000100
186,1122,True,6020082
187,1122,False,1000100
188,1123,True,7002411
189,1123,False,1000100
190,1124,True,1000100
191,1124,False,1000100
192,1125,True,1000200
193,1125,False,1000100
194,1126,True,6020102
195,1126,False,1000100
196,1127,True,3000135
197,1127,False,1000100
198,1128,True,1000100
199,1128,False,1000100
200,1129,True,1000200
201,1129,False,1000100
202,1130,True,6020062
203,1130,False,1000100
204,1131,True,7002412
205,1131,False,1000100
206,1132,True,1000100
207,1132,False,1000100
208,1133,True,1000200
209,1133,False,1000100
210,1134,True,6030068
211,1134,False,1000100
212,1135,True,7002413
213,1135,False,1000100
214,1136,True,1000100
215,1136,False,1000100
216,1137,True,1000200
217,1137,False,1000100
218,1138,True,1000300
219,1138,False,1000100
220,1139,True,6020114
221,1139,False,1000100
222,1140,True,1000100
223,1140,False,1000100
224,1141,True,1000200
225,1141,False,1000100
226,1142,True,6030005
227,1142,False,1000100
228,1143,True,7002414
229,1143,False,1000100
230,2001,True,1000100
231,2001,False,1000020
232,2002,True,1000100
233,2002,False,1000020
234,2003,True,1000100
235,2003,False,1000020
236,2004,True,1000200
237,2004,False,1000040
238,2005,True,1000200
239,2005,False,1000040
240,2006,True,1000200
241,2006,False,1000040
242,2007,True,1000200
243,2007,False,1000040
244,2008,True,1000300
245,2008,False,1000060
246,2009,True,1000300
247,2009,False,1000060
248,2010,True,6020044
249,2011,True,8002003
250,2012,True,7000057
251,2013,True,8002006
252,2014,True,6020127
253,2014,False,1000020
254,2015,True,3000137
255,2015,False,1000060
256,2016,True,7002002
257,2016,False,1000100
258,2017,True,6020094
259,2017,False,1000020
260,2018,True,6001002
261,2019,True,1001000
262,2019,False,1000200
263,2020,True,7000061
264,2020,False,1000300
265,2021,True,8002022
266,2022,True,1000200
267,2022,False,1000040
268,2023,True,7000062
269,2023,False,1000300
270,2024,True,6010014
271,2025,True,1001500
272,2025,False,1000300
273,2026,True,6001002
274,2026,False,1000300
275,2027,True,12002003
276,2027,False,1000100
277,2028,True,1001500
278,2028,False,1000300
279,2029,True,7000062
