---,ShopItemId,GameMoneyId,Count
1,30001,1,1400
2,30002,1,1400
3,30003,1,1400
4,30004,1,1400
5,30005,1,1400
6,30006,1,1400
7,30007,1,4400
8,30008,1,4400
9,30009,1,4400
10,40010,1,2500
11,40011,1,2500
12,40012,1,1500
13,40013,1,1500
14,40014,1,4000
15,40015,1,2500
16,40016,1,2500
17,40017,1,1500
18,40018,1,1500
19,40019,1,4000
20,40020,1,2500
21,40021,1,2500
22,40022,1,1500
23,40023,1,1500
24,40024,1,4000
25,50025,1,60
26,60026,1,1200
27,60027,1,1200
28,60028,1,1200
29,60029,1,1200
30,60030,1,800
31,60031,1,800
32,60032,1,800
33,60033,1,800
34,60034,1,800
35,60035,1,800
36,60036,1,800
37,60037,1,800
38,60038,1,800
39,60039,1,800
40,60040,1,800
41,60041,1,800
42,60042,1,800
43,60043,1,800
44,60044,1,800
45,60045,1,800
46,60046,1,800
47,60047,1,800
48,60048,1,800
49,60049,1,800
50,60050,1,800
51,60051,1,800
52,60052,1,800
53,60053,1,800
54,60054,1,800
55,60055,1,800
56,60056,1,800
57,60057,1,800
58,60058,1,800
59,60059,1,800
60,60060,1,800
61,60061,1,800
62,110062,1,1800
63,110063,1,1800
64,110064,1,1800
65,110065,1,1800
66,110066,1,1800
67,110067,1,1800
68,110068,1,1000
69,110069,1,1000
70,110070,1,1000
71,110071,1,1000
72,110072,1,1000
73,110073,1,1000
74,120074,1,20000
75,120075,1,20000
76,120076,1,20000
77,120077,1,20000
78,120078,1,20000
79,120079,1,20000
80,50080,1,60
81,50081,1,60
82,50082,1,60
83,50083,1,60
84,50084,1,60
85,50085,1,60
86,50086,1,60
87,50087,1,60
88,50088,1,60
89,50089,1,60
90,50090,1,60
91,50091,1,60
92,50092,1,60
93,50093,1,60
94,50094,1,60
95,50095,1,60
96,50096,1,60
97,50097,1,60
98,50098,1,60
99,50099,1,60
100,50100,1,60
101,50101,1,60
102,50102,1,60
103,50103,1,60
104,50104,1,60
105,50105,1,60
106,50106,1,60
107,50107,1,60
108,50108,1,60
109,50109,1,60
110,50110,1,60
111,50111,1,60
112,50112,1,60
113,50113,1,60
114,50114,1,60
115,50115,1,60
116,50116,1,60
117,50117,1,60
118,50118,1,60
119,50119,1,60
120,50120,1,60
121,50121,1,60
122,50122,1,60
123,50123,1,60
124,50124,1,60
125,50125,1,60
126,50126,1,60
127,50127,1,60
128,50128,1,60
129,50129,1,60
130,50130,1,60
131,50131,1,60
132,50132,1,60
133,50133,1,60
134,50134,1,60
135,50135,1,60
136,50136,1,60
