---,RankId,BattleResultId,IsBurst,ClearRate,BattleBonusRankPoint
1,4,1,False,1.5,19200
2,4,1,False,1.2,14200
3,4,1,False,1.1,9200
4,4,1,False,1,6200
5,4,1,False,0.9,4200
6,4,1,False,0.6,3200
7,4,1,False,0.2,2200
8,4,1,False,0,-800
9,4,2,False,1.2,10000
10,4,2,False,1.1,7000
11,4,2,False,1,5000
12,4,2,False,0.9,4000
13,4,2,False,0.7,3000
14,4,2,False,0.4,2000
15,4,2,False,0.1,1000
16,4,2,False,0,0
17,5,1,False,1.5,19200
18,5,1,False,1.2,14200
19,5,1,False,1.1,9200
20,5,1,False,1,6200
21,5,1,False,0.9,4200
22,5,1,False,0.6,3200
23,5,1,False,0.2,2200
24,5,1,False,0,-800
25,5,2,False,1.2,10000
26,5,2,False,1.1,7000
27,5,2,False,1,5000
28,5,2,False,0.9,4000
29,5,2,False,0.7,3000
30,5,2,False,0.4,2000
31,5,2,False,0.1,1000
32,5,2,False,0,0
33,6,1,False,1.5,11200
34,6,1,False,1.2,8200
35,6,1,False,1.1,6200
36,6,1,False,1,4200
37,6,1,False,0.9,3200
38,6,1,False,0.6,2200
39,6,1,False,0.2,1200
40,6,1,False,0,-800
41,6,2,False,1.2,7000
42,6,2,False,1.1,5000
43,6,2,False,1,4000
44,6,2,False,0.9,3000
45,6,2,False,0.7,2000
46,6,2,False,0.4,1000
47,6,2,False,0.1,500
48,6,2,False,0,0
49,7,1,False,1.4,11200
50,7,1,False,1.2,8200
51,7,1,False,1.1,6200
52,7,1,False,1,4200
53,7,1,False,0.9,3200
54,7,1,False,0.6,2200
55,7,1,False,0.2,1200
56,7,1,False,0,-1000
57,7,2,False,1.2,5000
58,7,2,False,1.1,3000
59,7,2,False,1,1000
60,7,2,False,0.9,-100
61,7,2,False,0.7,-400
62,7,2,False,0.4,-700
63,7,2,False,0,-1500
64,8,1,False,1.4,11200
65,8,1,False,1.2,8200
66,8,1,False,1.1,6200
67,8,1,False,1,4200
68,8,1,False,0.9,3200
69,8,1,False,0.6,2200
70,8,1,False,0.2,1200
71,8,1,False,0,-1000
72,8,2,False,1.2,3000
73,8,2,False,1.1,1000
74,8,2,False,1,500
75,8,2,False,0.9,-200
76,8,2,False,0.7,-500
77,8,2,False,0.4,-800
78,8,2,False,0,-1500
79,9,1,False,1.4,6200
80,9,1,False,1.2,5200
81,9,1,False,1.1,4200
82,9,1,False,1,3200
83,9,1,False,0.9,2200
84,9,1,False,0.7,1200
85,9,1,False,0.3,200
86,9,1,False,0,-1000
87,9,2,False,1.2,3000
88,9,2,False,1.1,1000
89,9,2,False,1,500
90,9,2,False,0.9,-200
91,9,2,False,0.7,-600
92,9,2,False,0.4,-1000
93,9,2,False,0,-1500
94,10,1,False,1.3,3700
95,10,1,False,1.2,2700
96,10,1,False,1.1,2200
97,10,1,False,1,1700
98,10,1,False,0.9,600
99,10,1,False,0.7,0
100,10,1,False,0.3,-200
101,10,1,False,0,-2000
102,10,2,False,1.2,1600
103,10,2,False,1.1,900
104,10,2,False,1,400
105,10,2,False,0.9,-200
106,10,2,False,0.8,-400
107,10,2,False,0.6,-800
108,10,2,False,0.3,-1200
109,10,2,False,0,-2000
110,11,1,False,1.4,3200
111,11,1,False,1.2,2200
112,11,1,False,1.1,1700
113,11,1,False,1,1200
114,11,1,False,0.9,400
115,11,1,False,0.7,0
116,11,1,False,0.3,-300
117,11,1,False,0,-2000
118,11,2,False,1.2,1200
119,11,2,False,1.1,800
120,11,2,False,1,100
121,11,2,False,0.9,-300
122,11,2,False,0.8,-600
123,11,2,False,0.6,-800
124,11,2,False,0.3,-1300
125,11,2,False,0,-2000
126,12,1,False,1.4,2800
127,12,1,False,1.2,1700
128,12,1,False,1.1,1200
129,12,1,False,1,800
130,12,1,False,0.9,0
131,12,1,False,0.7,-200
132,12,1,False,0.3,-400
133,12,1,False,0,-2000
134,12,2,False,1.2,1000
135,12,2,False,1.1,700
136,12,2,False,1,-200
137,12,2,False,0.9,-400
138,12,2,False,0.8,-700
139,12,2,False,0.6,-900
140,12,2,False,0.3,-1400
141,12,2,False,0,-2000
142,13,1,False,1.4,2600
143,13,1,False,1.2,1600
144,13,1,False,1.1,1000
145,13,1,False,1,600
146,13,1,False,0.9,-100
147,13,1,False,0.7,-200
148,13,1,False,0.3,-500
149,13,1,False,0,-2000
150,13,2,False,1.2,700
151,13,2,False,1.1,500
152,13,2,False,1,-200
153,13,2,False,0.9,-400
154,13,2,False,0.8,-700
155,13,2,False,0.6,-900
156,13,2,False,0.3,-1400
157,13,2,False,0,-2000
158,14,1,False,1.4,2600
159,14,1,False,1.2,1600
160,14,1,False,1.1,1000
161,14,1,False,1,600
162,14,1,False,0.9,-100
163,14,1,False,0.7,-200
164,14,1,False,0.3,-500
165,14,1,False,0,-2000
166,14,2,False,1.2,700
167,14,2,False,1.1,500
168,14,2,False,1,-200
169,14,2,False,0.9,-400
170,14,2,False,0.8,-700
171,14,2,False,0.6,-900
172,14,2,False,0.3,-1400
173,14,2,False,0,-2000
174,15,1,False,1.4,2000
175,15,1,False,1.2,1200
176,15,1,False,1.1,800
177,15,1,False,1,400
178,15,1,False,0.9,-200
179,15,1,False,0.7,-300
180,15,1,False,0.3,-600
181,15,1,False,0,-2000
182,15,2,False,1.2,600
183,15,2,False,1.1,400
184,15,2,False,1,-300
185,15,2,False,0.9,-600
186,15,2,False,0.8,-900
187,15,2,False,0.6,-1200
188,15,2,False,0.3,-1500
189,15,2,False,0,-2000
190,16,1,False,1.4,1600
191,16,1,False,1.2,800
192,16,1,False,1.1,400
193,16,1,False,1,300
194,16,1,False,0.9,-200
195,16,1,False,0.7,-300
196,16,1,False,0.3,-600
197,16,1,False,0,-2000
198,16,2,False,1.2,500
199,16,2,False,1.1,300
200,16,2,False,1,-300
201,16,2,False,0.9,-500
202,16,2,False,0.8,-800
203,16,2,False,0.6,-1000
204,16,2,False,0.3,-1500
205,16,2,False,0,-2000
206,17,1,False,1.4,1600
207,17,1,False,1.2,800
208,17,1,False,1.1,400
209,17,1,False,1,300
210,17,1,False,0.9,-200
211,17,1,False,0.7,-300
212,17,1,False,0.3,-600
213,17,1,False,0,-2000
214,17,2,False,1.2,500
215,17,2,False,1.1,300
216,17,2,False,1,-300
217,17,2,False,0.9,-500
218,17,2,False,0.8,-800
