---,SymbolChatId,Name,SymbolChatCategoryId,SymbolChatTypeId,ReferenceSymbolChatId,IsDefault
0,0,-,0,0,0,False
1,1001,始まりの挨拶_01,1,4,0,True
2,2016,始まりの挨拶_08,1,5,0,True
3,2030,始まりの挨拶_09,1,6,0,True
4,1002,始まりの挨拶_02,1,4,0,False
5,1003,始まりの挨拶_03,1,4,0,False
6,1004,始まりの挨拶_04,1,4,0,False
7,1005,始まりの挨拶_05,1,4,0,False
8,1006,始まりの挨拶_06,1,4,0,False
9,1007,始まりの挨拶_07,1,4,0,False
10,2004,バトル・感謝,2,7,0,True
11,2017,バトル・意思(ポート),2,8,0,True
12,2018,バトル・意思(レベル),2,9,0,True
13,2021,バトル・意思(対AR),2,10,0,True
14,2022,バトル・意思(タワー),2,11,0,True
15,2020,バトル・意思(回復),2,12,0,True
16,2025,バトル・意思(妨害),2,13,0,True
17,2001,バトル・了解（了解）,2,14,0,True
18,2012,バトル・了解（がんばろう）,2,15,0,True
19,2008,バトル・了解（ナイス）,2,16,0,True
20,2031,バトル・依頼（一緒に来て）,2,17,0,True
21,2005,バトル・依頼（援護をお願い）,2,18,0,True
22,2006,バトル・依頼（任せて）,2,19,0,True
23,2003,バトル・ごめん（ごめん）,2,20,0,True
24,2011,バトル・ごめん（やられた）,2,22,0,True
25,2015,撃破,2,21,0,False
26,2027,バトル・ロール(アサルト),2,23,0,True
27,2028,バトル・ロール(ヴァンガード),2,24,0,True
28,2029,バトル・ロール(サポート),2,25,0,True
29,3001,勝利・敗北 1,4,26,6001,True
30,3002,勝利・敗北 2,4,26,6002,False
31,4001,褒める 1,4,28,0,False
32,4002,褒める 2,4,28,0,False
33,5001,お疲れさま 1,4,28,0,False
34,5002,お疲れさま 2,4,28,0,True
35,5003,お疲れさま 3,4,29,0,False
36,5004,お疲れさま 4,4,29,0,False
37,5005,お疲れさま 5,4,29,0,True
38,5006,お疲れさま 6,4,29,0,False
39,5007,お疲れさま 7,4,29,0,False
40,6001,勝利・敗北 1（敗北）,0,27,0,False
41,6002,勝利・敗北 2（敗北）,0,27,0,False
42,7001,注意喚起(強)_01,3,1,0,True
43,7002,注意喚起(強)_02,3,1,0,False
44,8001,意思表示・宣言,3,2,0,True
45,9001,意思表示・指示_01,3,3,0,True
46,9002,意思表示・指示_02,3,3,0,False
47,2054,ブリーフィング・始まりの挨拶_01,5,4,0,True
48,2055,ブリーフィング・始まりの挨拶_08,5,5,0,True
49,2056,ブリーフィング・始まりの挨拶_09,5,6,0,True
50,2033,ブリーフィング・編成（前衛）,6,0,0,True
51,2034,ブリーフィング・編成（後衛）,6,0,0,True
52,2035,ブリーフィング・編成（撃ち上げ）,6,0,0,True
53,2036,ブリーフィング・編成（撃ち落し）,6,0,0,True
54,2037,ブリーフィング・戦略（1番機狙い）,6,0,0,True
55,2038,ブリーフィング・戦略（2番機狙い）,6,0,0,True
56,2039,ブリーフィング・戦略（1落ちで）,6,0,0,True
57,2040,ブリーフィング・戦略（2落ちで）,6,0,0,True
58,2041,ブリーフィング・了解,6,0,0,True
59,2042,ブリーフィング・感謝,6,0,0,True
60,2043,ブリーフィング・謝罪,6,0,0,True
61,2052,1番機狙います,7,30,0,True
62,2053,2番機狙います,7,31,0,True
63,2044,前に出る,7,32,0,True
64,2045,後ろに下がる,7,33,0,True
65,2057,ナイス,7,34,0,True
66,2048,援護お願い,7,35,0,True
67,2051,ゴメン,7,36,0,True
68,2050,ありがとう,7,37,0,True
