---,BuddyId,LevelId,RewardId
1,1,2,7000024
2,1,3,1001000
3,1,4,8001016
4,1,5,1001000
5,1,6,7000025
6,1,7,1001000
7,1,8,8001013
8,1,9,1001500
9,1,10,7000026
10,1,11,1001500
11,1,12,8001019
12,1,13,1001500
13,1,14,7000027
14,1,15,12001005
15,1,16,8001009
16,1,17,1001500
17,1,18,7000028
18,1,19,1001500
19,1,20,8001024
20,1,21,1002000
21,1,22,1002000
22,1,23,1002000
23,1,24,1002000
24,1,25,1002000
25,1,26,1002000
26,1,27,1002000
27,1,28,1002000
28,1,29,1002000
29,1,30,1002000
30,1,31,1002000
31,1,32,1002000
32,1,33,1002000
33,1,34,1002000
34,1,35,1002000
35,1,36,1002000
36,1,37,1002000
37,1,38,1002000
38,1,39,1002000
39,1,40,1002000
40,1,41,1002000
41,1,42,1002000
42,1,43,1002000
43,1,44,1002000
44,1,45,1002000
45,1,46,1002000
46,1,47,1002000
47,1,48,1002000
48,1,49,1002000
49,1,50,1002000
50,1,51,1002000
51,1,52,1002000
52,1,53,1002000
53,1,54,1002000
54,1,55,1002000
55,1,56,1002000
56,1,57,1002000
57,1,58,1002000
58,1,59,1002000
59,1,60,1003000
60,1,61,1003000
61,1,62,1003000
62,1,63,1003000
63,1,64,1003000
64,1,65,1003000
65,1,66,1003000
66,1,67,1003000
67,1,68,1003000
68,1,69,1003000
69,1,70,1003000
70,1,71,1003000
71,1,72,1003000
72,1,73,1003000
73,1,74,1003000
74,1,75,1003000
75,1,76,1003000
76,1,77,1003000
77,1,78,1003000
78,1,79,1003000
79,1,80,1003000
80,1,81,1003000
81,1,82,1003000
82,1,83,1003000
83,1,84,1003000
84,1,85,1003000
85,1,86,1003000
86,1,87,1003000
87,1,88,1003000
88,1,89,1003000
89,1,90,1003000
90,1,91,1003000
91,1,92,1003000
92,1,93,1003000
93,1,94,1003000
94,1,95,1003000
95,1,96,1003000
96,1,97,1003000
97,1,98,1003000
98,1,99,1003000
99,2,2,7000029
100,2,3,1001000
101,2,4,8002017
102,2,5,1001000
103,2,6,7000030
104,2,7,1001000
105,2,8,8002023
106,2,9,1001500
107,2,10,7000031
108,2,11,1001500
109,2,12,8002018
110,2,13,1001500
111,2,14,7000032
112,2,15,12002005
113,2,16,8002021
114,2,17,1001500
115,2,18,7000033
116,2,19,1001500
117,2,20,8002024
118,2,21,1002000
119,2,22,1002000
120,2,23,1002000
121,2,24,1002000
122,2,25,1002000
123,2,26,1002000
124,2,27,1002000
125,2,28,1002000
126,2,29,1002000
127,2,30,1002000
128,2,31,1002000
129,2,32,1002000
130,2,33,1002000
131,2,34,1002000
132,2,35,1002000
133,2,36,1002000
134,2,37,1002000
135,2,38,1002000
136,2,39,1002000
137,2,40,1002000
138,2,41,1002000
139,2,42,1002000
140,2,43,1002000
141,2,44,1002000
142,2,45,1002000
143,2,46,1002000
144,2,47,1002000
145,2,48,1002000
146,2,49,1002000
147,2,50,1002000
148,2,51,1002000
149,2,52,1002000
150,2,53,1002000
151,2,54,1002000
152,2,55,1002000
153,2,56,1002000
154,2,57,1002000
155,2,58,1002000
156,2,59,1002000
157,2,60,1003000
158,2,61,1003000
159,2,62,1003000
160,2,63,1003000
161,2,64,1003000
162,2,65,1003000
163,2,66,1003000
164,2,67,1003000
165,2,68,1003000
166,2,69,1003000
167,2,70,1003000
168,2,71,1003000
169,2,72,1003000
170,2,73,1003000
171,2,74,1003000
172,2,75,1003000
173,2,76,1003000
174,2,77,1003000
175,2,78,1003000
176,2,79,1003000
177,2,80,1003000
178,2,81,1003000
179,2,82,1003000
180,2,83,1003000
181,2,84,1003000
182,2,85,1003000
183,2,86,1003000
184,2,87,1003000
185,2,88,1003000
186,2,89,1003000
187,2,90,1003000
188,2,91,1003000
189,2,92,1003000
190,2,93,1003000
191,2,94,1003000
192,2,95,1003000
193,2,96,1003000
194,2,97,1003000
195,2,98,1003000
196,2,99,1003000
197,3,2,7000034
198,3,3,1001000
199,3,4,8003017
200,3,5,1001000
201,3,6,7000035
202,3,7,1001000
203,3,8,8003013
204,3,9,1001500
205,3,10,7000036
206,3,11,1001500
207,3,12,8003019
208,3,13,1001500
209,3,14,7000037
210,3,15,12003005
211,3,16,8003005
212,3,17,1001500
213,3,18,7000038
214,3,19,1001500
215,3,20,8003024
216,3,21,1002000
217,3,22,1002000
218,3,23,1002000
219,3,24,1002000
220,3,25,1002000
221,3,26,1002000
222,3,27,1002000
223,3,28,1002000
224,3,29,1002000
225,3,30,1002000
226,3,31,1002000
227,3,32,1002000
228,3,33,1002000
229,3,34,1002000
230,3,35,1002000
231,3,36,1002000
232,3,37,1002000
233,3,38,1002000
234,3,39,1002000
235,3,40,1002000
236,3,41,1002000
237,3,42,1002000
238,3,43,1002000
239,3,44,1002000
240,3,45,1002000
241,3,46,1002000
242,3,47,1002000
243,3,48,1002000
244,3,49,1002000
245,3,50,1002000
246,3,51,1002000
247,3,52,1002000
248,3,53,1002000
249,3,54,1002000
250,3,55,1002000
251,3,56,1002000
252,3,57,1002000
253,3,58,1002000
254,3,59,1002000
255,3,60,1003000
256,3,61,1003000
257,3,62,1003000
258,3,63,1003000
259,3,64,1003000
260,3,65,1003000
261,3,66,1003000
262,3,67,1003000
263,3,68,1003000
264,3,69,1003000
265,3,70,1003000
266,3,71,1003000
267,3,72,1003000
268,3,73,1003000
269,3,74,1003000
270,3,75,1003000
271,3,76,1003000
272,3,77,1003000
273,3,78,1003000
274,3,79,1003000
275,3,80,1003000
276,3,81,1003000
277,3,82,1003000
278,3,83,1003000
279,3,84,1003000
280,3,85,1003000
281,3,86,1003000
282,3,87,1003000
283,3,88,1003000
284,3,89,1003000
285,3,90,1003000
286,3,91,1003000
287,3,92,1003000
288,3,93,1003000
289,3,94,1003000
290,3,95,1003000
291,3,96,1003000
292,3,97,1003000
293,3,98,1003000
294,3,99,1003000
295,4,2,7000039
296,4,3,1001000
297,4,4,8004016
298,4,5,1001000
299,4,6,7000040
300,4,7,1001000
301,4,8,8004023
302,4,9,1001500
303,4,10,7000041
304,4,11,1001500
305,4,12,8004018
306,4,13,1001500
307,4,14,7000042
308,4,15,12004005
309,4,16,8004002
310,4,17,1001500
311,4,18,7000043
312,4,19,1001500
313,4,20,8004024
314,4,21,1002000
315,4,22,1002000
316,4,23,1002000
317,4,24,1002000
318,4,25,1002000
319,4,26,1002000
320,4,27,1002000
321,4,28,1002000
322,4,29,1002000
323,4,30,1002000
324,4,31,1002000
325,4,32,1002000
326,4,33,1002000
327,4,34,1002000
328,4,35,1002000
329,4,36,1002000
330,4,37,1002000
331,4,38,1002000
332,4,39,1002000
333,4,40,1002000
334,4,41,1002000
335,4,42,1002000
336,4,43,1002000
337,4,44,1002000
338,4,45,1002000
339,4,46,1002000
340,4,47,1002000
341,4,48,1002000
342,4,49,1002000
343,4,50,1002000
344,4,51,1002000
345,4,52,1002000
346,4,53,1002000
347,4,54,1002000
348,4,55,1002000
349,4,56,1002000
350,4,57,1002000
351,4,58,1002000
352,4,59,1002000
353,4,60,1003000
354,4,61,1003000
355,4,62,1003000
356,4,63,1003000
357,4,64,1003000
358,4,65,1003000
359,4,66,1003000
360,4,67,1003000
361,4,68,1003000
362,4,69,1003000
363,4,70,1003000
364,4,71,1003000
365,4,72,1003000
366,4,73,1003000
367,4,74,1003000
