---,Id,Name,TexturePath
10001,10001,ディスドスキャンペーン１,
10002,10002,ディスドスキャンペーン２,
10003,10003,スクラッパーキャンペーン１,
10004,10004,スクラッパーキャンペーン２,
10005,10005,スクラッパーキャンペーン４,
10006,10006,ファルマコンキャンペーン１,
10007,10007,ファルマコンキャンペーン２,
10008,10008,ファルマコンキャンペーン４,
10009,10009,ラピスヘッジキャンペーン１,
10010,10010,ラピスヘッジキャンペーン２,
10011,10011,ラピスヘッジキャンペーン４,
10012,10012,エア・リアル・Ｈ\n青碧カラーセット１,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10013,10013,エア・リアル・Ｂ\n青碧カラーセット１,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10014,10014,エア・リアル・Ａ\n青碧カラーセット１,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10015,10015,エア・リアル・Ｌ\n青碧カラーセット１,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10016,10016,エア・リアル・Ｗ\n青碧カラーセット１,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10017,10017,エア・リアル・Ｈ\n青碧カラーセット２,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10018,10018,エア・リアル・Ｂ\n青碧カラーセット２,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10019,10019,エア・リアル・Ａ\n青碧カラーセット２,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10020,10020,エア・リアル・Ｌ\n青碧カラーセット２,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10021,10021,エア・リアル・Ｗ\n青碧カラーセット２,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10022,10022,エア・リアル・Ｈ\n青碧カラーセット３,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10023,10023,エア・リアル・Ｂ\n青碧カラーセット３,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10024,10024,エア・リアル・Ａ\n青碧カラーセット３,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10025,10025,エア・リアル・Ｌ\n青碧カラーセット３,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10026,10026,エア・リアル・Ｗ\n青碧カラーセット３,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10027,10027,ラピスヘッジセット\nパ・フェクトカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10028,10028,パ・フェクトセット\nラピスヘッジカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10029,10029,アンゼロイ\nＨ・Ｂセット,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10030,10030,アンゼロイ\nＡ・Ｌセット,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10031,10031,スクラッパーセット\nラピスヘッジカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10032,10032,ラピスヘッジセット\nスクラッパーカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10033,10033,ソリディアセット\nサイトヘッドカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10034,10034,サイトヘッドセット\nソリディアカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10035,10035,カーディナルセット\nゴールテン・Dカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10036,10036,サブライガセット\nゴールテン・Dカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10037,10037,サブライガセット\nCU・レイターカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10038,10038,CU・レイターセット\nサブライガカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10039,10039,ディスドスセット\nファルマコンカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10040,10040,ファルマコンセット\nディスドスカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10041,10041,パ・フェクトセット\nゴールテン・Dカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10042,10042,ゴールテン・Dセット\nパ・フェクトカラー,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10043,10043,オキサイドカラー\nＨセット,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10044,10044,オキサイドカラー\nＢセット,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10045,10045,オキサイドカラー\nＡセット,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10046,10046,オキサイドカラー\nＬセット,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10047,10047,オキサイドカラー\nＷセット,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10048,10048,エタニティ\nＨ・Ｂセット,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
10049,10049,エタニティ\nＡ・Ｌセット,Texture2D'/Game/GUI/OutGame/LoginBonus/Tex/Item/Tex_LoginBonus_SetBox.Tex_LoginBonus_SetBox'
