---,Id,SkillId,BuddyId,IsDefault,SkillLearning
0,1000,0,1,False,なし
1,1001,1,1,False,クエスト「ヒカリからの依頼２」をクリア
2,1002,2,1,False,---
3,1003,3,1,False,---
4,1004,4,1,False,---
5,1005,5,1,False,---
6,1006,6,1,False,---
7,1007,7,1,False,---
8,1008,8,1,False,クエスト「ヒカリとスキルアップ１」をクリア
9,1009,9,1,False,ヒカリとのDePSを7500獲得
10,1010,10,1,False,---
11,1011,11,1,False,クエスト「ヒカリからの依頼１」をクリア
12,1012,12,1,False,---
13,1013,13,1,False,ヒカリとのDePSを3500獲得
14,1014,14,1,True,デフォルトスキル
15,1015,15,1,False,---
16,1016,16,1,False,ヒカリとのDePSを1500獲得
17,1017,17,1,False,---
18,1018,18,1,False,---
19,1019,19,1,False,ヒカリとのDePSを5500獲得
20,1020,20,1,False,---
21,1021,21,1,False,---
22,1022,22,1,False,---
23,1023,23,1,False,---
24,1024,24,1,False,ヒカリとのDePSを9500獲得
25,2000,0,2,False,なし
26,2001,1,2,False,---
27,2002,2,2,False,---
28,2003,3,2,False,クエスト「レイカからの依頼１」をクリア
29,2004,4,2,False,---
30,2005,5,2,False,---
31,2006,6,2,False,---
32,2007,7,2,False,---
33,2008,8,2,False,---
34,2009,9,2,False,---
35,2010,10,2,False,クエスト「レイカとスキルアップ１」をクリア
36,2011,11,2,False,---
37,2012,12,2,False,---
38,2013,13,2,False,---
39,2014,14,2,True,デフォルトスキル
40,2015,15,2,False,---
41,2016,16,2,False,---
42,2017,17,2,False,レイカとのDePSを1500獲得
43,2018,18,2,False,レイカとのDePSを5500獲得
44,2019,19,2,False,---
45,2020,20,2,False,---
46,2021,21,2,False,レイカとのDePSを7500獲得
47,2022,22,2,False,クエスト「レイカからの依頼２」をクリア
48,2023,23,2,False,レイカとのDePSを3500獲得
49,2024,24,2,False,レイカとのDePSを9500獲得
50,3000,0,3,False,なし
51,3001,1,3,False,クエスト「シャーリーからの依頼２」をクリア
52,3002,2,3,False,---
53,3003,3,3,False,クエスト「シャーリーとスキルアップ１」をクリア
54,3004,4,3,False,---
55,3005,5,3,False,シャーリーとのDePSを7500獲得
56,3006,6,3,False,---
57,3007,7,3,False,---
58,3008,8,3,False,---
59,3009,9,3,False,---
60,3010,10,3,False,---
61,3011,11,3,False,---
62,3012,12,3,False,---
63,3013,13,3,False,シャーリーとのDePSを3500獲得
64,3014,14,3,True,デフォルトスキル
65,3015,15,3,False,---
66,3016,16,3,False,---
67,3017,17,3,False,シャーリーとのDePSを1500獲得
68,3018,18,3,False,---
69,3019,19,3,False,シャーリーとのDePSを5500獲得
70,3020,20,3,False,---
71,3021,21,3,False,---
72,3022,22,3,False,クエスト「シャーリーからの依頼１」をクリア
73,3023,23,3,False,---
74,3024,24,3,False,シャーリーとのDePSを9500獲得
75,4000,0,4,False,なし
76,4001,1,4,False,---
77,4002,2,4,False,イサドラとのDePSを7500獲得
78,4003,3,4,False,クエスト「イサドラからの依頼１」をクリア
79,4004,4,4,False,---
80,4005,5,4,False,---
81,4006,6,4,False,---
82,4007,7,4,False,---
83,4008,8,4,False,クエスト「イサドラからの依頼２」をクリア
84,4009,9,4,False,---
85,4010,10,4,False,---
86,4011,11,4,False,---
87,4012,12,4,False,---
88,4013,13,4,False,---
89,4014,14,4,True,デフォルトスキル
90,4015,15,4,False,---
91,4016,16,4,False,イサドラとのDePSを1500獲得
92,4017,17,4,False,---
93,4018,18,4,False,イサドラとのDePSを5500獲得
94,4019,19,4,False,クエスト「イサドラとスキルアップ１」をクリア
95,4020,20,4,False,---
96,4021,21,4,False,---
97,4022,22,4,False,---
98,4023,23,4,False,イサドラとのDePSを3500獲得
99,4024,24,4,False,イサドラとのDePSを9500獲得
100,5000,0,5,False,なし
101,5001,1,5,False,クエスト「ナギとスキルアップ１」をクリア
102,5002,2,5,False,---
103,5003,3,5,False,クエスト「ナギからの依頼１」をクリア
104,5004,4,5,False,---
105,5005,5,5,False,---
106,5006,6,5,False,---
107,5007,7,5,False,---
108,5008,8,5,False,クエスト「ナギからの依頼２」をクリア
109,5009,9,5,False,---
110,5010,10,5,False,---
111,5011,11,5,False,---
112,5012,12,5,False,---
113,5013,13,5,False,ナギとのDePSを3500獲得
114,5014,14,5,True,デフォルトスキル
115,5015,15,5,False,ナギとのDePSを1500獲得
116,5016,16,5,False,---
117,5017,17,5,False,---
118,5018,18,5,False,---
119,5019,19,5,False,ナギとのDePSを5500獲得
120,5020,20,5,False,ナギとのDePSを7500獲得
121,5021,21,5,False,---
122,5022,22,5,False,---
123,5023,23,5,False,---
124,5024,24,5,False,ナギとのDePSを9500獲得
125,6000,0,6,False,なし
126,6001,1,6,False,クエスト「カズマからの依頼２」をクリア
127,6002,2,6,False,---
128,6003,3,6,False,---
129,6004,4,6,False,---
130,6005,5,6,False,---
131,6006,6,6,False,クエスト「カズマとスキルアップ１」をクリア
132,6007,7,6,False,カズマとのDePSを7500獲得
133,6008,8,6,False,---
134,6009,9,6,False,---
135,6010,10,6,False,---
136,6011,11,6,False,クエスト「カズマからの依頼１」をクリア
137,6012,12,6,False,---
138,6013,13,6,False,---
139,6014,14,6,True,デフォルトスキル
140,6015,15,6,False,カズマとのDePSを1500獲得
141,6016,16,6,False,---
142,6017,17,6,False,---
143,6018,18,6,False,カズマとのDePSを5500獲得
144,6019,19,6,False,---
145,6020,20,6,False,---
146,6021,21,6,False,---
147,6022,22,6,False,---
148,6023,23,6,False,カズマとのDePSを3500獲得
149,6024,24,6,False,カズマとのDePSを9500獲得
